foodId,brandName,productName,petType,caloriesPer100g,proteinG,fatG,carbohydrateG,imageUrl,purchaseUrl
127,오리젠(ORIJEN),식스피쉬 독,DOG,376.00,39.00,19.00,,http://shop1.phinf.naver.net/20230728_32/16905262997883kGC5_JPEG/36542883332601361_296439405.jpg,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EC%8B%9D%EC%8A%A4%ED%94%BC%EC%89%AC%20%EB%8F%85
128,오리젠(ORIJEN),퍼피,DOG,400.00,38.00,20.00,,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/be1f/fbf3d6435d5e7e03f8d6d902e2781553611801cfbbf75c173d7bb819e543.png,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%ED%8D%BC%ED%94%BC
129,오리젠(ORIJEN),핏 앤 트림,DOG,349.00,40.00,13.00,,http://shop1.phinf.naver.net/20230208_199/1675840461224C9uo6_JPEG/76976240908123900_1710765372.jpg,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%ED%95%8F%20%EC%95%A4%20%ED%8A%B8%EB%A6%BC
130,아카나(ACANA),와일드 프레이리 독,DOG,385.00,31.00,17.00,34.00,https://img.dogpre.com/mobile/dogpre/product/49/48464_original_01126653.png,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%B9%B4%EB%82%98%20%EC%99%80%EC%9D%BC%EB%93%9C%20%ED%94%84%EB%A0%88%EC%9D%B4%EB%A6%AC%20%EB%8F%85
131,아카나(ACANA),라이트 앤 피트,DOG,311.00,35.00,9.00,24.00,http://shop1.phinf.naver.net/20221212_15/1670828775560kX4EF_PNG/71964559051167122_1957350954.png,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%B9%B4%EB%82%98%20%EB%9D%BC%EC%9D%B4%ED%8A%B8%20%EC%95%A4%20%ED%94%BC%ED%8A%B8
132,지위픽(ZIWI PEAK),치킨 with 오처드 프루트,DOG,430.00,36.00,26.00,1.00,http://shop1.phinf.naver.net/20191209_20/1575880369745S1rF1_PNG/13243758277924130_984793435.png,https://search.shopping.naver.com/search/all?query=%EC%A7%80%EC%9C%84%ED%94%BD%20%EC%B9%98%ED%82%A8%20with%20%EC%98%A4%EC%B2%98%EB%93%9C%20%ED%94%84%EB%A3%A8%ED%8A%B8
133,지위픽(ZIWI PEAK),맥커럴 & 램,DOG,450.00,36.00,26.00,1.00,http://image.g9.co.kr/g/1467894998/n,https://search.shopping.naver.com/search/all?query=%EC%A7%80%EC%9C%84%ED%94%BD%20%EB%A7%A5%EC%BB%A4%EB%9F%B4%20%26%20%EB%9E%A8
134,나우(NOW FRESH),그레인프리 라지브리드 어덜트,DOG,357.30,28.00,14.00,,https://img.danuri.io/catalog-image/376/242/007/5315e10241d74ff0819c230d3e8a9cc4.jpg,https://search.shopping.naver.com/search/all?query=%EB%82%98%EC%9A%B0%20%EA%B7%B8%EB%A0%88%EC%9D%B8%ED%94%84%EB%A6%AC%20%EB%9D%BC%EC%A7%80%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8
135,웰니스(Wellness),컴플리트 헬스 비프&발리,DOG,355.00,25.00,14.00,38.00,http://imgnews.naver.net/image/5366/2025/10/05/2025100508505706499fbbec65dfb210178127232_20251005085213600.jpg,https://search.shopping.naver.com/search/all?query=%EC%9B%B0%EB%8B%88%EC%8A%A4%20%EC%BB%B4%ED%94%8C%EB%A6%AC%ED%8A%B8%20%ED%97%AC%EC%8A%A4%20%EB%B9%84%ED%94%84%26%EB%B0%9C%EB%A6%AC
136,블루버팔로(Blue Buffalo),라이프 프로텍션 라지브리드 시니어,DOG,343.60,20.00,10.00,,https://shop-phinf.pstatic.net/20240928_289/1727498661659P9lwR_JPEG/7074025527832961_440669278.jpg,https://search.shopping.naver.com/search/all?query=%EB%B8%94%EB%A3%A8%EB%B2%84%ED%8C%94%EB%A1%9C%20%EB%9D%BC%EC%9D%B4%ED%94%84%20%ED%94%84%EB%A1%9C%ED%85%8D%EC%85%98%20%EB%9D%BC%EC%A7%80%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EC%8B%9C%EB%8B%88%EC%96%B4
137,브릿(Brit Care),그레인프리 시니어 라이트 살몬,DOG,341.00,25.00,12.00,,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/52b0/2f5e238474b027952f418647e0ac0edd94dc0b25319d3339374c5de17282.jpg,https://search.shopping.naver.com/search/all?query=%EB%B8%8C%EB%A6%BF%20%EA%B7%B8%EB%A0%88%EC%9D%B8%ED%94%84%EB%A6%AC%20%EC%8B%9C%EB%8B%88%EC%96%B4%20%EB%9D%BC%EC%9D%B4%ED%8A%B8%20%EC%82%B4%EB%AA%AC
138,파리나(Farmina),N&D 퀴노아 웨이트 매니지먼트 램,DOG,313.50,28.00,8.00,,https://ak-d.tripcdn.com/images/0225b12000lbuqky2016B_R_960_660_R5_D.jpg,https://search.shopping.naver.com/search/all?query=%ED%8C%8C%EB%A6%AC%EB%82%98%20N%26D%20%ED%80%B4%EB%85%B8%EC%95%84%20%EC%9B%A8%EC%9D%B4%ED%8A%B8%20%EB%A7%A4%EB%8B%88%EC%A7%80%EB%A8%BC%ED%8A%B8%20%EB%9E%A8
139,K9 내추럴,램 피스트 프리즈드라이드,DOG,503.00,41.00,34.00,3.00,https://img.danuri.io/catalog-image/552/461/096/d9d16f75542940ea8a7987ad6ab01594.jpg,https://search.shopping.naver.com/search/all?query=K9%20%EB%82%B4%EC%B6%94%EB%9F%B4%20%EB%9E%A8%20%ED%94%BC%EC%8A%A4%ED%8A%B8%20%ED%94%84%EB%A6%AC%EC%A6%88%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%93%9C
140,프리멀(Primal),프리즈드라이드 로우 너겟 래빗,DOG,485.70,60.40,20.87,,http://shop1.phinf.naver.net/20180201_68/doristar52_1517454932255i92EV_JPEG/40761232776245955_1883485064.jpg,https://search.shopping.naver.com/search/all?query=%ED%94%84%EB%A6%AC%EB%A9%80%20%ED%94%84%EB%A6%AC%EC%A6%88%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%93%9C%20%EB%A1%9C%EC%9A%B0%20%EB%84%88%EA%B2%9F%20%EB%9E%98%EB%B9%97
141,더 아너스트 키친(The Honest Kitchen),구르메 그레인 비프&살몬,DOG,368.60,30.00,15.00,,http://shop1.phinf.naver.net/20231130_5/1701320043788RKzlU_JPEG/16231335605241259_500937151.jpg,https://search.shopping.naver.com/search/all?query=%EB%8D%94%20%EC%95%84%EB%84%88%EC%8A%A4%ED%8A%B8%20%ED%82%A4%EC%B9%9C%20%EA%B5%AC%EB%A5%B4%EB%A9%94%20%EA%B7%B8%EB%A0%88%EC%9D%B8%20%EB%B9%84%ED%94%84%26%EC%82%B4%EB%AA%AC
142,카나4(Carna4),그레인프리 덕,DOG,450.00,29.00,15.00,,https://shop-phinf.pstatic.net/20250411_133/1744364511225ko0sC_PNG/90390353928362220_2099006285.png,https://search.shopping.naver.com/search/all?query=%EC%B9%B4%EB%82%984%20%EA%B7%B8%EB%A0%88%EC%9D%B8%ED%94%84%EB%A6%AC%20%EB%8D%95
143,뉴트리소스(Nutrisource),그레인프리 하이플레인스 셀렉트,DOG,401.10,30.00,18.00,27.00,http://shopping.phinf.naver.net/main_3163593/31635930627.20220406122956.jpg,https://search.shopping.naver.com/search/all?query=%EB%89%B4%ED%8A%B8%EB%A6%AC%EC%86%8C%EC%8A%A4%20%EA%B7%B8%EB%A0%88%EC%9D%B8%ED%94%84%EB%A6%AC%20%ED%95%98%EC%9D%B4%ED%94%8C%EB%A0%88%EC%9D%B8%EC%8A%A4%20%EC%85%80%EB%A0%89%ED%8A%B8
144,로우즈(Rawz),밀프리 살몬 치킨,DOG,373.00,34.00,15.00,22.00,http://shop1.phinf.naver.net/20220731_276/1659252586603CP4Vd_JPEG/60388420409300060_616977530.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%9A%B0%EC%A6%88%20%EB%B0%80%ED%94%84%EB%A6%AC%20%EC%82%B4%EB%AA%AC%20%EC%B9%98%ED%82%A8
145,릴리스키친(Lily's Kitchen),어덜트 램,DOG,347.00,23.00,9.00,,http://shopping.phinf.naver.net/main_5938783/59387836386.20260325163248.jpg,https://search.shopping.naver.com/search/all?query=%EB%A6%B4%EB%A6%AC%EC%8A%A4%ED%82%A4%EC%B9%9C%28Lily%27s%20Kitchen%29%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EB%9E%A8
146,하림펫푸드,더리얼 그레인프리 오븐베이크드,DOG,350.00,28.00,14.00,35.00,https://shop-phinf.pstatic.net/20241204_103/1733272237654uW6Wg_JPEG/35216251440548039_8471334.jpeg,https://search.shopping.naver.com/search/all?query=%ED%95%98%EB%A6%BC%ED%8E%AB%ED%91%B8%EB%93%9C%20%EB%8D%94%EB%A6%AC%EC%96%BC%20%EA%B7%B8%EB%A0%88%EC%9D%B8%ED%94%84%EB%A6%AC%20%EC%98%A4%EB%B8%90%EB%B2%A0%EC%9D%B4%ED%81%AC%EB%93%9C
147,하림펫푸드,밥이보약 DOG,DOG,304.50,21.00,10.00,40.00,http://shop1.phinf.naver.net/20201201_103/1606802421347oWF5K_JPEG/14266946173651623_56986429.jpg,https://search.shopping.naver.com/search/all?query=%ED%95%98%EB%A6%BC%ED%8E%AB%ED%91%B8%EB%93%9C%20%EB%B0%A5%EC%9D%B4%EB%B3%B4%EC%95%BD%20DOG
148,ANF,식스프리플러스,DOG,340.00,28.00,15.00,33.00,http://shopping.phinf.naver.net/main_3967252/39672528618.20231114151301.jpg,https://search.shopping.naver.com/search/all?query=ANF%20%EC%8B%9D%EC%8A%A4%ED%94%84%EB%A6%AC%ED%94%8C%EB%9F%AC%EC%8A%A4
149,윌로펫,뉴트리탑 소프트,DOG,310.00,22.00,9.00,38.00,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/419d/07b57aac1b418f5ec1c76e38227181e926ded934084aee462e55cf773001.png,https://search.shopping.naver.com/search/all?query=%EC%9C%8C%EB%A1%9C%ED%8E%AB%20%EB%89%B4%ED%8A%B8%EB%A6%AC%ED%83%91%20%EC%86%8C%ED%94%84%ED%8A%B8
150,로얄캐닌(Royal Canin),사이즈/연령별 맞춤 사료,DOG,,,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/34be/940b027298cde1daa2b6a9ce719a86bd2d713ba437bdb18546cc73f9cdd1.png,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EC%82%AC%EC%9D%B4%EC%A6%88/%EC%97%B0%EB%A0%B9%EB%B3%84%20%EB%A7%9E%EC%B6%A4%20%EC%82%AC%EB%A3%8C
